unidade,g,h,ociosas
0107802,Maternal II,Integral,14
0121001,Maternal II,Integral,9
0123601,Maternal II,Integral,18
0123603,Maternal II,Integral,8
0123801,Maternal II,Integral,13
0204601,Maternal II,Integral,10
0204602,Maternal II,Integral,3
0204804,Maternal II,Integral,3
0204805,Maternal II,Integral,5
0204806,Maternal II,Integral,24
0205601,Maternal II,Integral,10
0205602,Maternal II,Integral,12
0205801,Maternal II,Integral,27
0206601,Maternal II,Integral,5
0206602,Maternal II,Integral,6
0206603,Maternal II,Integral,1
0206605,Maternal II,Integral,9
0206606,Maternal II,Integral,3
0208601,Maternal II,Integral,22
0208603,Maternal II,Integral,12
0208604,Maternal II,Integral,3
0208605,Maternal II,Integral,3
0208606,Maternal II,Integral,2
0208607,Maternal II,Integral,11
0208608,Maternal II,Integral,11
0208801,Maternal II,Integral,13
0208803,Maternal II,Integral,10
0209601,Maternal II,Integral,5
0209602,Maternal II,Integral,18
0209603,Maternal II,Integral,7
0209604,Maternal II,Integral,8
0209605,Maternal II,Integral,14
0209606,Maternal II,Integral,24
0209607,Maternal II,Integral,10
0209608,Maternal II,Integral,10
0209609,Maternal II,Integral,11
0209610,Maternal II,Integral,15
0209803,Maternal II,Integral,18
0209804,Maternal II,Integral,6
0227601,Maternal II,Integral,3
0227602,Maternal II,Integral,17
0227801,Maternal II,Integral,3
0312502,Maternal II,Integral,16
0312601,Maternal II,Integral,8
0312602,Maternal II,Integral,4
0312603,Maternal II,Integral,4
0312801,Maternal II,Integral,0
0312802,Maternal II,Integral,29
0312803,Maternal II,Integral,20
0312804,Maternal II,Integral,19
0312805,Maternal II,Integral,17
0312806,Maternal II,Integral,0
0312809,Maternal II,Integral,4
0312810,Maternal II,Integral,2
0312812,Maternal II,Integral,2
0312813,Maternal II,Integral,9
0313601,Maternal II,Integral,9
0313602,Maternal II,Integral,12
0313603,Maternal II,Integral,6
0313604,Maternal II,Integral,7
0313606,Maternal II,Integral,0
0313607,Maternal II,Integral,31
0313608,Maternal II,Integral,1
0313609,Maternal II,Integral,15
0313610,Maternal II,Integral,12
0313611,Maternal II,Integral,14
0313612,Maternal II,Integral,20
0313801,Maternal II,Integral,10
0313802,Maternal II,Integral,2
0313804,Maternal II,Integral,2
0313805,Maternal II,Integral,4
0313806,Maternal II,Integral,5
0313809,Maternal II,Integral,0
0328601,Maternal II,Integral,31
0328602,Maternal II,Integral,1
0328604,Maternal II,Integral,4
0328801,Maternal II,Integral,3
0329801,Maternal II,Integral,4
0330601,Maternal II,Integral,2
0330602,Maternal II,Integral,5
0410601,Maternal II,Integral,2
0410602,Maternal II,Integral,11
0410801,Maternal II,Integral,1
0410802,Maternal II,Integral,0
0410803,Maternal II,Integral,8
0410804,Maternal II,Integral,6
0410805,Maternal II,Integral,3
0410807,Maternal II,Integral,0
0410808,Maternal II,Integral,3
0410810,Maternal II,Integral,23
0411601,Maternal II,Integral,0
0411602,Maternal II,Integral,1
0411603,Maternal II,Integral,4
0411604,Maternal II,Integral,2
0411605,Maternal II,Integral,27
0411607,Maternal II,Integral,23
0411609,Maternal II,Integral,0
0411801,Maternal II,Integral,12
0411802,Maternal II,Integral,12
0411803,Maternal II,Integral,7
0411804,Maternal II,Integral,10
0430601,Maternal II,Integral,0
0430602,Maternal II,Integral,1
0430603,Maternal II,Integral,0
0430604,Maternal II,Integral,1
0430605,Maternal II,Integral,0
0430607,Maternal II,Integral,6
0430801,Maternal II,Integral,0
0430802,Maternal II,Integral,4
0430803,Maternal II,Integral,4
0430805,Maternal II,Integral,2
0430806,Maternal II,Integral,5
