unidade,bairro_unid
0515024,BENTO RIBEIRO
0515025,BENTO RIBEIRO
0515026,MARECHAL HERMES
0515027,MARECHAL HERMES
0515028,MARECHAL HERMES
0515029,MARECHAL HERMES
0515030,MARECHAL HERMES
0515032,MARECHAL HERMES
0515033,MARECHAL HERMES
0515034,MARECHAL HERMES
0515035,CAMPINHO
0515037,QUINTINO BOCAIUVA
0515038,QUINTINO BOCAIUVA
0515039,QUINTINO BOCAIUVA
0515040,QUINTINO BOCAIUVA
0515041,QUINTINO BOCAIUVA
0515042,QUINTINO BOCAIUVA
0515043,CAVALCANTE
0515044,CAVALCANTE
0515045,CAVALCANTE
0515046,CAVALCANTE
0515047,CAVALCANTE
0515048,CAVALCANTE
0515049,CASCADURA
0515050,CASCADURA
0515051,CASCADURA
0515052,CASCADURA
0515053,CASCADURA
0515054,MADUREIRA
0515055,MADUREIRA
0515056,MADUREIRA
0515057,MADUREIRA
0515058,MADUREIRA
0515059,MADUREIRA
0515060,VAZ LOBO
0515061,TURIACU
0515062,TURIACU
0515063,TURIACU
0515064,MADUREIRA
0625701,ACARI
0622201,PARQUE ANCHIETA
0622202,ANCHIETA
0622203,PARQUE ANCHIETA
0622204,GUADALUPE
0625204,BARROS FILHO
0625205,ACARI
0625206,COSTA BARROS
0625501,IRAJA
0625502,COELHO NETO
0625503,PAVUNA
0622601,ANCHIETA
0622602,JARDIM CRISTINA CAPRI - ANCHIETA
0622603,ANCHIETA
0625601,PAVUNA
0625602,COSTA BARROS
0625603,COSTA BARROS
0625604,COELHO NETO
0625605,CAMINHO DO JOB - PAVUNA
0625606,COSTA BARROS
0625607,COSTA BARROS
0625608,CONJ. HAB. AMARELINHO - IRAJA
0625609,PAVUNA
0625610,COELHO NETO
0625611,ACARI
0625612,ACARI
0625614,COSTA BARROS
0625615,ACARI
0625616,ACARI
06001,ANCHIETA
06002,GUADALUPE
06003,ANCHIETA
06004,ACARI
06005,ANCHIETA
06006,ACARI
06007,ACARI
06009,ANCHIETA
06012,GUADALUPE
06013,PARQUE ANCHIETA
06015,PAVUNA
06016,RICARDO DE ALBUQUERQUE
06017,GUADALUPE
06019,COELHO NETO
06020,GUADALUPE
06021,GUADALUPE
0622801,GUADALUPE
0622802,GUADALUPE
0622804,RICARDO DE ALBUQUERQUE
0622805,ANCHIETA
0625801,BARROS FILHO
0625802,COSTA BARROS
0625803,COSTA BARROS
0625804,COSTA BARROS
0625805,COELHO NETO
0625806,COELHO NETO
0625807,COSTA BARROS
0625808,PAVUNA
0625809,PAVUNA
0625810,PAVUNA
0625811,COELHO NETO
0625812,IRAJA
0625813,PAVUNA
0625814,BARROS FILHO
0625815,ACARI
0625816,PAVUNA
0625817,PAVUNA
0625818,PAVUNA
0625819,PAVUNA
0625820,PAVUNA
0622001,PARQUE ANCHIETA
0622002,ANCHIETA
0622004,ANCHIETA
0622005,ANCHIETA
0622006,PARQUE ANCHIETA
0622007,RICARDO DE ALBUQUERQUE
0622008,RICARDO DE ALBUQUERQUE
0622009,RICARDO DE ALBUQUERQUE
0622011,RICARDO DE ALBUQUERQUE
0622012,GUADALUPE
0622014,GUADALUPE
0622016,GUADALUPE
0622017,GUADALUPE
0622018,GUADALUPE
0622019,GUADALUPE
0622020,GUADALUPE
0622021,GUADALUPE
0622022,GUADALUPE
0622023,GUADALUPE
0622024,ANCHIETA
0622025,ANCHIETA
0622026,ANCHIETA
0622027,ANCHIETA
0622809,RICARDO DE ALBUQUERQUE
0622810,GUADALUPE
0622811,ANCHIETA
0625001,COELHO NETO
0625003,COELHO NETO
0625004,COELHO NETO
0625005,COELHO NETO
0625006,ACARI
0625008,COELHO NETO
0625009,IRAJA
0625011,COSTA BARROS
0625013,COSTA BARROS
0625014,PAVUNA
0625015,PAVUNA
0625016,ANCHIETA
0625017,PAVUNA
0625018,PAVUNA
0625019,PAVUNA
0625020,PAVUNA
0625021,PAVUNA
0625022,PAVUNA
0625023,ACARI
0625024,PAVUNA
0625025,PAVUNA
0625026,PAVUNA
0625027,PAVUNA
0625028,PAVUNA
0625029,PAVUNA
0625030,PAVUNA
0625031,PAVUNA
0625032,PAVUNA
0625033,PAVUNA
0625034,PAVUNA
0625035,PAVUNA
0625041,ACARI
0625042,BARROS FILHO
0716203,RIO DAS PEDRAS
0716204,RIO DAS PEDRAS
0716205,CURICICA
0716207,TAQUARA
0716210,CURICICA
0716211,TAQUARA
0716501,PRACA SECA
0716502,VILA VALQUEIRE
0716503,PRACA SECA
0724502,RECREIO DOS BANDEIRANTES
0734501,CIDADE DE DEUS
0734502,CIDADE DE DEUS
0716601,JACAREPAGUA
0716602,TAQUARA
0716603,JACAREPAGUA
0716604,JACAREPAGUA
0716605,JACAREPAGUA
0716606,JACAREPAGUA
0716607,PRACA SECA
0716608,PRACA SECA
0716609,FREGUESIA (JACAREPAGUA)
0716610,TAQUARA
0716611,VILA VALQUEIRE
0716612,JACAREPAGUA - TAQUARA
0716613,JACAREPAGUA
0716614,CURICICA
0724601,RECREIO DOS BANDEIRANTES
0724602,ITANHANGA
0724603,BARRA DA TIJUCA
0724604,ITANHANGA
0724605,VARGEM GRANDE
0724606,VARGEM PEQUENA
0734601,CIDADE DE DEUS
0734602,CIDADE DE DEUS
0734603,CIDADE DE DEUS
07001,VARGEM PEQUENA
07002,VARGEM GRANDE
07003,TAQUARA / JACAREPAGUA
07004,FREGUESIA / JACAREPAGUA
07007,FREGUESIA / JACAREPAGUA
07008,MATO ALTO / JACAREPAGUA
07010,FREGUESIA / JACAREPAGUA
07011,RECREIO DOS BANDEIRANTES
07013,CIDADE DE DEUS / JACAREPAGUA
07014,CIDADE DE DEUS / JACAREPAGUA
07015,VARGEM GRANDE
07017,RECREIO DOS BANDEIRANTES
07018,JACAREPAGUA
07019,JACAREPAGUA
07020,JACAREPAGUA
07025,CIDADE DE DEUS / JACAREPAGUA
07027,ITANHANGA
07034,JACAREPAGUA
07035,JACAREPAGUA
07036,FREGUESIA / JACAREPAGUA
07037,FREGUESIA / JACAREPAGUA
07038,VILA VALQUEIRE
07039,ANIL
07040,JACAREPAGUA
07041,TAQUARA / JACAREPAGUA
07042,JACAREPAGUA
07043,VARGEM PEQUENA
07044,RECREIO DOS BANDEIRANTES
07045,GARDENIA AZUL
07047,JACAREPAGUA
07048,CIDADE DE DEUS / JACAREPAGUA
07049,JACAREPAGUA
07050,VARGEM GRANDE
0716801,JACAREPAGUA
0716802,CURICICA
0716803,ANIL
0716804,CURICICA
0716805,JACAREPAGUA
0716806,TAQUARA
0716807,CURICICA
0716808,GARDENIA AZUL
0716809,PRACA SECA
0716810,JACAREPAGUA
0716811,TAQUARA
0716812,RIO DAS PEDRAS
0716813,CAMORIM- JACAREPAGUA
0716814,RIO DAS PEDRAS
0716815,PRACA SECA
0716816,VILA VALQUEIRE
0716818,GARDENIA AZUL
0716819,ANIL
0716820,CURICICA
0716821,TAQUARA
0716822,ANIL
0716823,CURICICA
0716824,CURICICA
0724801,RECREIO
0724802,VARGEM GRANDE
0724803,RECREIO DOS BANDEIRANTES
0724804,ITANHANGA
0724805,BARRA DA TIJUCA
