cep,ordem,esc_codigo,distancia_km,mesma_microarea
20041004,5,103806,0.405,true
20041004,6,103805,0.521,true
20041004,7,103605,0.522,false
20041004,8,1025041,0.546,true
20041004,9,102602,0.690,true
20041004,10,103606,0.733,false
20041210,1,103601,0.130,true
20041210,2,103502,0.239,true
20041210,3,103607,0.301,true
20041210,4,102601,0.331,true
20041210,5,103806,0.405,true
20041210,6,103805,0.521,true
20041210,7,103605,0.522,false
20041210,8,1025041,0.546,true
20041210,9,102602,0.690,true
20041210,10,103606,0.733,false
20041245,1,103601,0.130,true
20041245,2,103502,0.239,true
20041245,3,103607,0.301,true
20041245,4,102601,0.331,true
20041245,5,103806,0.405,true
20041245,6,103805,0.521,true
20041245,7,103605,0.522,false
20041245,8,1025041,0.546,true
20041245,9,102602,0.690,true
20041245,10,103606,0.733,false
20050000,1,328601,0.000,true
20050000,2,328501,0.055,true
20050000,3,328801,0.228,true
20050000,4,312040,0.268,true
20050000,5,410802,0.283,false
20050000,6,312811,0.352,false
20050000,7,3021,0.398,false
20050000,8,410002,0.544,false
20050000,9,107608,0.590,false
20050000,10,410026,0.610,false
20050002,1,328601,0.000,true
20050002,2,328501,0.055,true
20050002,3,328801,0.228,true
20050002,4,312040,0.268,true
20050002,5,410802,0.283,false
20050002,6,312811,0.352,false
20050002,7,3021,0.398,false
20050002,8,410002,0.544,false
20050002,9,107608,0.590,false
20050002,10,410026,0.610,false
20050008,1,328601,0.000,true
20050008,2,328501,0.055,true
20050008,3,328801,0.228,true
20050008,4,312040,0.268,true
20050008,5,410802,0.283,false
20050008,6,312811,0.352,false
20050008,7,3021,0.398,false
20050008,8,410002,0.544,false
20050008,9,107608,0.590,false
20050008,10,410026,0.610,false
20050030,1,328601,0.000,true
20050030,2,328501,0.055,true
20050030,3,328801,0.228,true
20050030,4,312040,0.268,true
20050030,5,410802,0.283,false
20050030,6,312811,0.352,false
20050030,7,3021,0.398,false
20050030,8,410002,0.544,false
20050030,9,107608,0.590,false
20050030,10,410026,0.610,false
20050090,1,328601,0.000,true
20050090,2,328501,0.055,true
20050090,3,328801,0.228,true
20050090,4,312040,0.268,true
20050090,5,410802,0.283,false
20050090,6,312811,0.352,false
20050090,7,3021,0.398,false
20050090,8,410002,0.544,false
20050090,9,107608,0.590,false
20050090,10,410026,0.610,false
20050093,1,328601,0.000,true
20050093,2,328501,0.055,true
20050093,3,328801,0.228,true
20050093,4,312040,0.268,true
20050093,5,410802,0.283,false
20050093,6,312811,0.352,false
20050093,7,3021,0.398,false
20050093,8,410002,0.544,false
20050093,9,107608,0.590,false
20050093,10,410026,0.610,false
20050190,1,328601,0.000,true
20050190,2,328501,0.055,true
20050190,3,328801,0.228,true
20050190,4,312040,0.268,true
20050190,5,410802,0.283,false
20050190,6,312811,0.352,false
20050190,7,3021,0.398,false
20050190,8,410002,0.544,false
20050190,9,107608,0.590,false
20050190,10,410026,0.610,false
20050971,1,328601,0.000,true
20050971,2,328501,0.055,true
20050971,3,328801,0.228,true
20050971,4,312040,0.268,true
20050971,5,410802,0.283,false
20050971,6,312811,0.352,false
20050971,7,3021,0.398,false
20050971,8,410002,0.544,false
20050971,9,107608,0.590,false
20050971,10,410026,0.610,false
20051011,1,103601,0.130,true
20051011,2,103502,0.239,true
20051011,3,103607,0.301,true
20051011,4,102601,0.331,true
20051011,5,103806,0.405,true
20051011,6,103805,0.521,true
20051011,7,103605,0.522,false
20051011,8,1025041,0.546,true
20051011,9,102602,0.690,true
20051011,10,103606,0.733,false
20051030,1,103601,0.130,true
20051030,2,103502,0.239,true
20051030,3,103607,0.301,true
20051030,4,102601,0.331,true
20051030,5,103806,0.405,true
